paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-42645154,42645154,,10.1097/CCE.0000000000001439,"Proteomic Immune Signatures of Severe HIV-Associated Tuberculosis in Sub-Saharan Africa: A Prospective, Multicenter Analysis From Uganda.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42634427,42634427,,10.1177/10430342261463565,Triple-Target CRISPR Strategy to Block HIV Entry and Replication in Permissive Cells.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42630837,42630837,PMC13494683,10.3389/fcvm.2026.1726611,The impact of SGLT2 inhibitors on uric acid levels in patients with heart failure with preserved ejection fraction: integration of mechanisms and clinical evidence.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13494683.json,PMC XML downloaded and normalized.
pmid-42620239,42620239,PMC13484676,10.64898/2026.08.04.742754,Peptide tiling across viral proteomes identifies modular regulators of stress-induced cell death.,available,unusable,yes,missing,,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42620025,42620025,PMC13484655,10.64898/2026.08.03.742552,HIV-1 Hijacks HGF/c-MET Signaling to Promote Viral Entry and Replication in Primary CD4 (+) T Cells.,available,unusable,yes,missing,,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42619998,42619998,PMC13484650,10.64898/2026.08.03.742570,SAMHD1 enhances HIV-1-induced glycolysis in monocytic cells through hexokinase 2 upregulation.,available,unusable,yes,missing,,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42618991,42618991,PMC13490627,10.1002/cmdc.70452,Ligand‑Based Virtual Screening Discovery of Thienopyrimidinone Derivatives as Allosteric nSMase2 Modulators and Antivirals Against West Nile Virus.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13490627.json,PMC XML downloaded and normalized.
pmid-42582102,42582102,PMC13457065,10.3389/fimmu.2026.1852583,Immune cells harbor their own microbiome-derived metabolome: a new layer of immunometabolic regulation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13457065.json,PMC XML downloaded and normalized.
pmid-42562331,42562331,,10.1016/j.bcp.2026.118321,The L-type calcium channel Ca(v)1.2 mediates influenza A virus infection by regulating viral internalization and endoplasmic reticulum homeostasis.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42557952,42557952,PMC13444662,10.1002/jmv.71086,In-Vitro Evaluation of HIV/SARS-CoV-2 Co-Infection Mediated Proteomic Changes in Astrocytes and Pericytes Reveals Altered Signaling Pathways Associated With Neurodegenerative Disorders.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13444662.json,PMC XML downloaded and normalized.
