paper_id,pmid,doi,title,import_status,match_method,match_score,source_filename,staged_pdf_path,notes
pmid-39981965,39981965,10.1080/10715762.2025.2470900,Down-regulation of Selenoprotein K impairs the proliferation and differentiation of chicken skeletal muscle satellite cells by inhibiting the Nrf2 antioxidant signaling pathway.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-39179932,39179932,10.1038/s41590-024-01933-7,"Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-39044030,39044030,10.1007/s00421-024-05565-5,"A single, maximal dose of celecoxib, ibuprofen, or flurbiprofen does not reduce the muscle signalling response to plyometric exercise in young healthy adults.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-36892588,36892588,10.1007/s00223-023-01073-4,Urotensin II can Induce Skeletal Muscle Atrophy Associated with Upregulating Ubiquitin-Proteasome System and Inhibiting the Differentiation of Satellite Cells in CRF Mice.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-34852207,34852207,10.1152/ajpcell.00344.2021,Aerobic exercise and resistance exercise alleviate skeletal muscle atrophy through IGF-1/IGF-1R-PI3K/Akt pathway in mice with myocardial infarction.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-34340000,34340000,10.1016/j.aquatox.2021.105926,Behavioral effects of early-life exposure to perfluorooctanoic acid might synthetically link to multiple aspects of dopaminergic neuron development and dopamine functions in zebrafish larvae.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-33660125,33660125,10.1007/s11655-021-2865-0,Wide Pulse Width Electroacupuncture Ameliorates Denervation-Induced Skeletal Muscle Atrophy in Rats via IGF-1/PI3K/Akt Pathway.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-33571646,33571646,10.1016/j.aanat.2021.151694,Localization of T-cell factor 4 positive fibroblasts and CD206-positive macrophages during skeletal muscle regeneration in mice.,staged,title_overlap,1.000,Localization of T-cell factor 4 positive fibroblasts and CD206-positive macrophages during skeletal muscle regeneration in mice.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 33571646.pdf,PDF moved into workflow store as PMID 33571646.pdf for downstream parsing and normalization.
pmid-32693409,32693409,10.1182/blood.2020006164,Molecular basis of ETV6-mediated predisposition to childhood acute lymphoblastic leukemia.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-32841355,32841355,10.1210/clinem/dgaa584,Congenital Hypothyroidism Due to Truncating PAX8 Mutations: A Case Series and Molecular Function Studies.,missing,,,,,No matching PDF found in the provided downloads directory.
