paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-42588596,42588596,PMC13465285,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13465285.json,PMC XML downloaded and normalized.
pmid-42471738,42471738,,10.1186/s13062-026-00905-1,PAX5 alleviates atherosclerosis by transcriptionally regulating GSDMD and inhibiting STAT3-mediated pyroptosis.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42310073,42310073,,10.1038/s41698-026-01542-7,LINC00312 increases gemcitabine sensitivity in nasopharyngeal carcinoma by recruiting PABPC1 and modulating PAX5-mediated transcription of LPLUNC1.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42204622,42204622,PMC13419031,10.1186/s13062-026-00837-w,Dual inhibition of KDM4B and KDM5A disassembles the PAX3-FOXO1 transcriptional program in fusion-positive rhabdomyosarcoma.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13419031.json,PMC XML downloaded and normalized.
pmid-42044732,42044732,,10.1016/j.gene.2026.150184,ZC3H13-mediated the m6A modification of PAX9 suppresses the progression of reflux esophagitis via improving esophageal epithelial barrier dysfunction.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41951061,41951061,,10.1016/j.mcp.2026.102070,ZMIZ1 promotes PAX6 ubiquitination through SMAD3 to drive the malignant progression of acute myeloid leukemia.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-41166909,41166909,,10.1016/j.phymed.2025.157445,"Betulin, an active component from Chinese herb birch bark, suppresses tumor angiogenesis and tumor growth by inhibiting the PAX2/VEGF-A/VEGR2 signaling pathway in non-small cell lung cancer.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40679038,40679038,PMC12401534,10.1242/dev.204848,Mutual repression between Pax2 and Snail factors regulates the epithelial/mesenchymal state during intermediate mesoderm differentiation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12401534.json,PMC XML downloaded and normalized.
pmid-40378211,40378211,PMC12083534,10.1126/sciadv.adu6632,Dual DNA demethylation mechanisms implement epigenetic memory driven by the pioneer factor PAX7.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12083534.json,PMC XML downloaded and normalized.
pmid-40119193,40119193,,10.1038/s41590-025-02139-1,"Author Correction: Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39622391,39622391,,10.1016/j.brainresbull.2024.111156,Molecular mechanism of METTL14-mediated m6A modification regulating microglial function post ischemic stroke.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39332789,39332789,PMC12970481,10.1016/j.ydbio.2024.09.009,"Pax2a, Pax5 and Cdh1-β-catenin, but not Wnt, protect sensory hair cells from destabilizing effects of fgf signaling on cell adhesion.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12970481.json,PMC XML downloaded and normalized.
pmid-39488637,39488637,PMC11531527,10.1038/s41598-024-76732-z,TGF-β superfamily-induced transcriptional activation pathways establish the RAD52-dependent ALT machinery during malignant transformation of MPNSTs.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11531527.json,PMC XML downloaded and normalized.
pmid-39424985,39424985,PMC11588656,10.1038/s41590-024-01995-7,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11588656.json,PMC XML downloaded and normalized.
pmid-39256480,39256480,PMC11528059,10.1038/s41423-024-01213-2,Rack1 regulates B-cell development and function by binding to and stabilizing the transcription factor Pax5.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-39179932,39179932,,10.1038/s41590-024-01933-7,"Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39015146,39015146,PMC11250905,10.1016/j.isci.2024.110241,The E3 ubiquitin ligase Nedd4L preserves skeletal muscle stem cell quiescence by inhibiting their activation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11250905.json,PMC XML downloaded and normalized.
pmid-38996706,38996706,,10.1016/j.biopha.2024.117126,Anlotinib destabilizes PAX3-FOXO1 to induce rhabdomyosarcoma cell death via upregulating NEK2.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-38861275,38861275,PMC11174093,10.1167/iovs.65.6.17,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11174093.json,PMC XML downloaded and normalized.
pmid-38776375,38776375,PMC11145296,10.1073/pnas.2314619121,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11145296.json,PMC XML downloaded and normalized.
pmid-38657865,38657865,PMC11130726,10.1016/j.jbc.2024.107312,PTIP UFMylation promotes replication fork degradation in BRCA1-deficient cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11130726.json,PMC XML downloaded and normalized.
pmid-38500398,38500398,PMC11296109,10.1111/acel.14144,"Stem cell secretome treatment improves whole-body metabolism, reduces adiposity, and promotes skeletal muscle function in aged mice.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11296109.json,PMC XML downloaded and normalized.
pmid-37661017,37661017,,10.1016/j.neuroscience.2023.08.036,NEDD4 Like E3 Ubiquitin Protein Ligase Represses Astrocyte Activation and Aggravates Neuroinflammation in Mice with Depression via Paired Box 6 Ubiquitination.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
