paper_id,pmid,doi,title,import_status,match_method,match_score,source_filename,staged_pdf_path,notes
pmid-42310133,42310133,10.1038/s41598-026-57604-0,"Multitargeted comparative evaluation suggests 2-Aoeobenoxmide shows favourable in silico binding compared to Tucatinib against ERα, HER2, AKT1, EGFR, and PIK3CA in breast cancer.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-42307901,42307901,10.1097/CAD.0000000000001831,Inavolisib and lenvatinib for PIK3CA-mutated refractory splenic angiosarcoma: a case report.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-41902997,41902997,10.1007/s12094-026-04314-8,The logarithmic phase as a therapeutic direction: evaluating pharmacological strategies against cancer progression.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-40203765,40203765,10.1016/j.ejca.2025.115397,"Inavolisib plus letrozole or fulvestrant in PIK3CA-mutated, hormone receptor-positive, HER2-negative advanced or metastatic breast cancer (GO39374): An open-label, multicentre, dose-escalation and dose-expansion phase 1/1b study.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-40163189,40163189,10.1007/s11864-025-01310-y,Novel Estrogen Receptor - Targeted Therapies in Hormone-Receptor Positive Breast Cancer.,staged,title_overlap,0.556,Alpelisib for the treatment of PIK3CA-mutated  hormone receptor-positive  HER2-negative metastatic breast cancer.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 40163189.pdf,PDF moved into workflow store as PMID 40163189.pdf for downstream parsing and normalization.
pmid-39687977,39687977,10.1111/his.15395,Recent advancements in biomarkers and molecular diagnostics in hormonal receptor-positive breast cancer.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-39637900,39637900,10.1016/S1470-2045(24)00673-9,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",staged,doi,0.950,1-s2.0-S1470204524006739-main.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 39637900.pdf,PDF moved into workflow store as PMID 39637900.pdf for downstream parsing and normalization.
pmid-39476340,39476340,10.1056/NEJMoa2404625,Inavolisib-Based Therapy in PIK3CA-Mutated Advanced Breast Cancer.,staged,title_overlap,0.625,A pharmacokinetic evaluation of alpelisib for the treatment of HR   HER2-negative  PIK3CA-mutated advanced or metastatic breast cancer (1).pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 39476340.pdf,PDF moved into workflow store as PMID 39476340.pdf for downstream parsing and normalization.
pmid-37975961,37975961,10.1007/s40261-023-01325-z,"Is Alpelisib Plus Fulvestrant Cost-Effective for Treating PIK3CA-Mutation, HR+/HER2- Advanced Breast Cancer in the USA?",staged,title_overlap,0.462,A pharmacokinetic evaluation of alpelisib for the treatment of HR   HER2-negative  PIK3CA-mutated advanced or metastatic breast cancer.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 37975961.pdf,PDF moved into workflow store as PMID 37975961.pdf for downstream parsing and normalization.
pmid-36914722,36914722,10.1038/s41416-023-02221-1,The emerging role of PI3K inhibitors for solid tumour treatment and beyond.,staged,doi,0.950,s41416-023-02221-1.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 36914722.pdf,PDF moved into workflow store as PMID 36914722.pdf for downstream parsing and normalization.
pmid-36605843,36605843,10.1007/s13691-022-00573-8,Lenvatinib-refractory thymic mucinous carcinoma with PIK3CA mutation.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-36195678,36195678,10.1007/s00268-022-06738-z,Ferroptosis Inducers in Thyroid Cancer.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-35133871,35133871,10.1200/JCO.21.01648,Phase II Study of Copanlisib in Patients With Tumors With PIK3CA Mutations: Results From the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol Z1F.,missing,,,,,No matching PDF found in the provided downloads directory.
