paper_id,pmid,doi,title,pdf_path,tei_path,normalized_path,parse_status,notes
pmid-42635598,42635598,10.1158/1078-0432.CCR-26-1816,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.",/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42635598.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42635598.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42635598.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42575435,42575435,10.1016/j.jbc.2026.113426,Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42575435.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42575435.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42575435.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42456830,42456830,10.1016/j.bcp.2026.118262,"Core genes drive treatment resistance in triple-negative breast cancer: characteristics, mechanisms, intervention strategies.",/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42456830.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42456830.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42456830.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42405409,42405409,10.2174/0113895575463121260609115219,Medicinal Chemistry Perspectives on Molecular Targets and Targeted Therapeutic Strategies in Breast Cancer.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42405409.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42405409.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42405409.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42341421,42341421,10.1016/j.bbrc.2026.154189,Functional characterization of PIK3CA E545A mutation in MCF-7 breast cancer cells reveals enhanced proliferation and resistance to Alpelisib.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42341421.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42341421.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42341421.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42312509,42312509,10.2174/0113816128473617260609100900,Glycycoumarin Induces G2/M Cell Cycle Arrest and Apoptosis in Non-Small-Cell Lung Cancer Cells via Suppressing the PI3K/AKT/mTOR/HIF-1α Pathway.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42312509.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42312509.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42312509.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42237450,42237450,10.1002/ijc.70545,Landscape of Chinese Lung Cancer Patients With Compound Mutations and Acquired Resistance Alterations: A Retrospective Study.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42237450.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42237450.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42237450.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42127863,42127863,10.1016/j.oraloncology.2026.108004,Efficacy of buparlisib according to PIK3CA mutation status in recurrent or metastatic head and neck squamous cell carcinoma: A multicenter phase II trial.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42127863.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42127863.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42127863.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42099435,42099435,10.64898/2026.04.24.720709,Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 42099435.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-42099435.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-42099435.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-41932195,41932195,10.1016/j.compbiolchem.2026.109028,Synergistic action of Yinyanghuo A and Magnograndiolide against ovarian cancer: A computational prediction of targets and mechanism via network pharmacology and molecular simulations.,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 41932195.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/parser_cache/grobid/pmid-41932195.tei.xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-41932195.json,normalized,PDF parsed and normalized through GROBID TEI.
