paper_id,pmid,doi,title,year,priority,evidence_category,learned_criteria_matched,shortlist_rationale
pmid-16003751,16003751,10.1002/ijc.21290,Enhanced cytotoxicity induced by gefitinib and specific inhibitors of the Ras or phosphatidyl inositol-3 kinase pathways in non-small cell lung cancer cells.,2006,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-18059185,18059185,10.4161/cbt.7.2.5334,Response and determinants of cancer cell susceptibility to PI3K inhibitors: combined targeting of PI3K and Mek1 as an effective anticancer strategy.,2008,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-20522531,20522531,10.1124/jpet.110.167940,"WJD008, a dual phosphatidylinositol 3-kinase (PI3K)/mammalian target of rapamycin inhibitor, prevents PI3K signaling and inhibits the proliferation of transformed cells with oncogenic PI3K mutant.",2010,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-22975517,22975517,10.1248/bpb.b12-00327,Development of an immunohistochemical protein quantification system in conjunction with tissue microarray technology for identifying predictive biomarkers for phosphatidylinositol 3-kinase inhibitors.,2012,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-22188813,22188813,10.1158/1535-7163.MCT-11-0474,"Identification and characterization of NVP-BKM120, an orally available pan-class I PI3-kinase inhibitor.",2012,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-22723336,22723336,10.1158/1535-7163.MCT-12-0290,Molecular profiling of patients with colorectal cancer and matched targeted therapy in phase I clinical trials.,2012,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-23136191,23136191,10.1158/1078-0432.CCR-12-2347,Phosphoinositide 3-kinase (PI3K) pathway alterations are associated with histologic subtypes and are predictive of sensitivity to PI3K inhibitors in lung cancer preclinical models.,2012,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-23403163,23403163,10.1016/j.ygyno.2013.02.008,Combination of a novel HDAC inhibitor OBP-801/YM753 and a PI3K inhibitor LY294002 synergistically induces apoptosis in human endometrial carcinoma cells due to increase of Bim with accumulation of ROS.,2013,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-23200321,23200321,10.1016/j.molonc.2012.11.001,Molecular phenotype predicts sensitivity of squamous cell carcinoma of the head and neck to epidermal growth factor receptor inhibition.,2013,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-25285632,25285632,10.1016/j.bbrc.2014.09.129,An IL6-STAT3 loop mediates resistance to PI3K inhibitors by inducing epithelial-mesenchymal transition and cancer stem cell expansion in human breast cancer cells.,2014,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-24561032,24561032,10.1016/j.ygyno.2014.02.022,Assessing the efficacy of targeting the phosphatidylinositol 3-kinase/AKT/mTOR signaling pathway in endometrial cancer.,2014,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
pmid-24608574,24608574,10.1158/1535-7163.MCT-13-0865,Characterization of the novel and specific PI3Kα inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials.,2014,high,strong_learned_match,manual pass-2 promotion: title/query matched PI3K-alpha inhibitor resistance/sensitization learned criteria,Request PDF: strongest PDF-only learned match for final access triage.
